RegionName,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
"New York, NY",386000.0,387000.0,387000.0,390333.0,395000.0,406667.0,420000.0,426667.0,425000.0,412333.0,404000.0,399000.0,400000.0,400000.0,400000.0,401667.0,406333.0,414667.0,424667.0,431667.0,431333.0,423000.0,415500.0,410167.0,410167.0,409333.0,407500.0,407500.0,410833.0,421667.0,431667.0,435667.0,432333.0,425667.0,421667.0,420000.0
"Los Angeles-Long Beach-Anaheim, CA",571833.0,570167.0,577498.0,589165.0,602498.0,609667.0,615000.0,617917.0,619583.0,616250.0,616667.0,616333.0,613000.0,616000.0,622000.0,634500.0,643167.0,650500.0,654667.0,654167.0,649500.0,646500.0,644000.0,639667.0,632667.0,628833.0,633167.0,643931.0,649098.0,653431.0,661000.0,662667.0,661667.0,654167.0,652667.0,654333.0
"Chicago, IL",211333.0,211333.0,216200.0,224867.0,234833.0,241800.0,243467.0,240900.0,233400.0,225733.0,221667.0,221167.0,221167.0,222000.0,225833.0,232833.0,239667.0,244667.0,246000.0,243333.0,237000.0,230333.0,227000.0,225000.0,224333.0,224667.0,228667.0,236000.0,244000.0,249333.0,251000.0,249333.0,243333.0,238333.0,235000.0,234333.0
"Dallas-Fort Worth, TX",236500.0,239000.0,242333.0,249667.0,256667.0,261333.0,261643.0,259583.0,254917.0,252940.0,250633.0,253716.0,252383.0,253417.0,255333.0,261667.0,268333.0,273333.0,276167.0,273500.0,266833.0,261467.0,258467.0,260100.0,257600.0,257933.0,259193.0,265823.0,272823.0,277355.0,280092.0,278425.0,274333.0,271667.0,270000.0,271833.0
"Philadelphia, PA",226333.0,221333.0,217667.0,222000.0,231000.0,243633.0,249300.0,250967.0,243000.0,236667.0,231667.0,232000.0,229000.0,226500.0,225167.0,229500.0,237000.0,243367.0,248367.0,251700.0,249967.0,244633.0,239267.0,237300.0,235933.0,231300.0,231884.0,236584.0,245918.0,255000.0,262667.0,266633.0,260633.0,253300.0,248333.0,249000.0
"Houston, TX",218333.0,217000.0,217740.0,223574.0,228574.0,231833.0,232667.0,231667.0,229333.0,228332.0,227332.0,226332.0,223500.0,223164.0,224164.0,231328.0,237330.0,241330.0,242307.0,240974.0,237060.0,233171.0,231408.0,234583.0,233058.0,232155.0,232227.0,238333.0,244333.0,249000.0,250667.0,251000.0,247333.0,243967.0,242933.0,245449.0
"Washington, DC",378124.0,377791.0,373084.0,381874.0,394540.0,405895.0,408648.0,405948.0,397596.0,388929.0,384291.0,389329.0,388662.0,388300.0,388300.0,398967.0,410000.0,416333.0,418667.0,416000.0,409333.0,401333.0,397967.0,401633.0,399633.0,398000.0,398000.0,407012.0,417897.0,422897.0,425885.0,423331.0,414998.0,409964.0,409967.0,416967.0
"Miami-Fort Lauderdale, FL",255000.0,253333.0,252500.0,255867.0,260533.0,268033.0,272000.0,275667.0,272333.0,268333.0,266667.0,267333.0,269000.0,267333.0,269500.0,272833.0,278500.0,282333.0,285000.0,284333.0,281000.0,280000.0,280667.0,281550.0,278800.0,277300.0,279750.0,283167.0,286929.0,289429.0,295096.0,297167.0,295333.0,295000.0,298333.0,301000.0
"Atlanta, GA",210667.0,210667.0,211667.0,217000.0,222023.0,225566.0,227566.0,226543.0,223167.0,221000.0,221167.0,225433.0,225765.0,227432.0,228665.0,234833.0,241000.0,245333.0,246333.0,243667.0,242000.0,241233.0,241900.0,241867.0,241132.0,240798.0,242165.0,246333.0,253667.0,259000.0,263667.0,262750.0,260733.0,257400.0,257983.0,260000.0
"Boston, MA",398833.0,393833.0,398333.0,401667.0,415000.0,425550.0,434717.0,436383.0,428500.0,421000.0,419333.0,421667.0,422500.0,420833.0,424800.0,436300.0,447967.0,462333.0,470000.0,473333.0,458333.0,445000.0,437333.0,434333.0,436333.0,433233.0,437900.0,441633.0,458233.0,474900.0,484833.0,484000.0,472333.0,461667.0,454000.0,457333.0
